id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
1,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
3,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
4,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,18 Delphini b,249,10.3 Jupiters,5.51048,2008
7,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,24 Bootis b,313,0.91 Jupiters,5.59,2018
9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
15,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
16,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
19,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
20,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
21,42 Draconis b,296,3.88 Jupiters,4.8262,2008
22,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
23,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
24,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
25,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
26,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
27,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
28,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
29,16 Cygni B b,69,1.78 Jupiters,6.215,1996
30,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
31,18 Delphini b,249,10.3 Jupiters,5.51048,2008
32,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
33,24 Bootis b,313,0.91 Jupiters,5.59,2018
34,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
35,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
36,2M0437 b,419,4 Jupiters,16.186,2021
37,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
38,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
44,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
45,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
46,42 Draconis b,296,3.88 Jupiters,4.8262,2008
47,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
48,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
49,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
69,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
70,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
71,42 Draconis b,296,3.88 Jupiters,4.8262,2008
72,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
73,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
74,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
94,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
95,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
96,42 Draconis b,296,3.88 Jupiters,4.8262,2008
97,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
98,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
99,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
100,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
103,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,10.3 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.91 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
119,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
120,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
121,42 Draconis b,296,3.88 Jupiters,4.8262,2008
122,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
123,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
124,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
125,b Centauri AB b,320,10.9 Jupiters,4.01,2021
126,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
127,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
128,BD-06 1339 b,66,8.5 Earths,9.7,2013
129,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
130,BD-08 2823 b,135,12.7132 Earths,9.86,2009
131,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
132,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
133,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
134,BD-11 4672 c,89,15.37 Earths,10.03,2020
